;country;region;gdp;life;pop;urban
86;Uruguay;Americas;10842,59961;76,34999847;3342950;92,21666718
87;Venezuela;Americas;10999;73,69999695;27823916;92,66666412
88;Afghanistan;Asia;938,4000244;47,40000153;29501834;21,91666603
89;Armenia;Asia;4879,399902;73,68333435;3077700;64,1166687
90;Azerbaijan;Asia;6945;69,90000153;8884767;51,70000076
91;Bahrain;Asia;30088;74,59999847;990950;88,5
92;Bangladesh;Asia;1177,800049;67,80000305;144683104;26,86666679
93;Bhutan;Asia;4072,399902;65,84999847;693933;32,81666565
94;Brunei Darussalam;Asia;48002;77,53333282;381050;74,59999847
95;Cambodia;Asia;1658,800049;61,43333435;13747033;19,41666603
96;China;Asia;5175,399902;72,68333435;1324696064;44,81666565
97;Cyprus;Asia;25403,19922;78,98332977;1069167;69,8666687
98;Georgia;Asia;4157,200195;73,1333313;4409267;52,59999847
99;Hong Kong, China;Asia;38669,80078;81,69999695;6913884;100
100;India;Asia;2647,800049;64,19999695;1182378496;29,33333397
101;Indonesia;Asia;3518,399902;67,96666718;233653344;43,65000153
102;Iran;Asia;10064,59961;72,03333282;71858264;69,19999695
103;Iraq;Asia;3052;68,09999847;29446400;66,5166626
104;Israel;Asia;24804,80078;80,7333374;7008584;91,7666626
105;Japan;Asia;30778;82,7666626;126500896;66,3666687
106;Jordan;Asia;4782,200195;72,93333435;5761050;78,40000153
107;Kazakhstan;Asia;9881,599609;65,8833313;15580500;57,75
108;Kuwait;Asia;44598,66797;74,16666412;2499100;98,33333588
109;Kyrgyzstan;Asia;1901,800049;66,8833313;5179084;34,76666641
110;Lao;Asia;1856,199951;65,8833313;5976884;30,28333282
111;Lebanon;Asia;10388;72;4146050;86,91666412
112;Malaysia;Asia;12530,40039;73,41666412;27265000;69,96666718
113;Maldives;Asia;4773,200195;75,51667023;305550;36,95000076
114;Mongolia;Asia;2990,399902;67,18333435;2648517;60,75
115;Myanmar;Asia;NA;63,71666718;47109500;32
116;Nepal;Asia;996,5999756;67,19999695;28631150;17,25
117;North Korea;Asia;NA;68,56666565;24057950;60
118;Oman;Asia;21051;72,96666718;2602133;72,44999695
119;Pakistan;Asia;2301,199951;64,6166687;166022416;35,18333435
120;Palestinian Territory;Asia;NA;72,19999695;3786333;73,59999847
121;Philippines;Asia;3118,199951;67,91666412;89408720;48,45000076
122;Qatar;Asia;74906;77,83333588;1288367;95,6333313
123;Saudi Arabia;Asia;21381,40039;73,1333313;25794750;81,53333282
124;Singapore;Asia;47373,80078;80,55000305;4677517;100
125;South Korea;Asia;24539,59961;79,78333282;47615448;82,16666412
126;Sri Lanka;Asia;3975,600098;74,40000153;20363284;14,46666718
127;Syria;Asia;4131,799805;75,33333588;19480784;54,73333359
128;Tajikistan;Asia;1650,599976;66,34999847;6655934;26,31666565
129;Thailand;Asia;7170,200195;73,58333588;67977952;33,09999847
130;Timor-Leste;Asia;701,4000244;60,84999847;1068967;27,10000038
131;Turkey;Asia;11529,40039;72,96666718;70453616;68,46666718
132;Turkmenistan;Asia;5639,799805;64,6166687;4891417;48,3833313
133;United Arab Emirates;Asia;51992,60156;75,93333435;5799100;83,18333435
134;Uzbekistan;Asia;2295,600098;67,55000305;26674950;36,40000153
135;Viet Nam;Asia;2429,800049;74,40000153;85490936;28,83333206
136;Yemen;Asia;2213,800049;63,91666412;22315166;30,35000038
137;Albania;Europe;6832,600098;76,40000153;3174417;49,35000229
138;Andorra;Europe;NA;80,5166626;81733;89,1166687
139;Austria;Europe;34838,39844;80,18333435;8320033;67,0166626
140;Belarus;Europe;10391,7998;69,46666718;9707033;73,3999939
141;Belgium;Europe;32868,80078;79,56666565;10567200;97,3500061
142;Bosnia/Herzegovina;Europe;6932,799805;75,15000153;3773933;47,15000153
143;Bulgaria;Europe;10998,2002;72,78333282;7616200;70,81666565
144;Croatia;Europe;16403,59961;75,96666718;4422400;57,06666565
145;Czech Republic;Europe;22044,59961;76,94999695;10350500;73,5
146;Denmark;Europe;33687,19922;78,25;5483900;86,40000153
147;Estonia;Europe;17932;73,73332977;1342933;69,43333435
148;Finland;Europe;32096,40039;79,30000305;5303817;84,40000153
149;France;Europe;30162,19922;80,8833313;61908300;83,5
150;Germany;Europe;32639,59961;79,80000305;82462720;73,56666565
151;Greece;Europe;26118;79,55000305;11272633;60,85000229
152;Hungary;Europe;17476,19922;73,69999695;10033583;67,18333435
153;Iceland;Europe;35593,80078;81,33333588;308283;93,15000153
154;Ireland;Europe;38986,80078;79,59999847;4318450;61,18333435
155;Italy;Europe;28042,40039;81,33333588;59656584;67,96666718
156;Latvia;Europe;14491,2002;72,3666687;2277500;67,8666687
157;Liechtenstein;Europe;NA;79,19999695;35383;14,44999981
158;Lithuania;Europe;15835,7998;71,6333313;3369517;66,81666565
159;Luxembourg;Europe;71141;79,33333588;481717;84,55000305
160;Macedonia;Europe;8312,599609;74,2333374;2049833;59,14999771
